 表一  各縣市人口數按性別及五歲年齡組分 ,,,,,,,,,,,,,,, 表一  各縣市人口數按性別及五歲年齡組分 ,,,,,,,,,,,,,
,,,,,, 中華民國104年底 ,,,,,,,,,,,,,, 中華民國104年底 ,,,,,,,,   單位：人 
 區 域 別 , 性別 , 總     計 , 0 ,,, 1～4 ,,, 5～9 , 10～14 , 15～19 , 20～24 , 25～29 , 30～34 , 35～39 , 40～44 , 45～49 , 50～54 , 55～59 , 60～64 , 65～69 , 70～74 , 75～79 , 80～84 , 85～89 , 90～94 , 95～99 , 100+ 
,,,, 小  計 , 1 , 2 , 3 , 4 ,,,,,,,,,,,,,,,,,,,,
, 計 ," 458,117 "," 3,262 "," 14,295 "," 3,461 "," 3,421 "," 3,930 "," 3,483 "," 18,017 "," 22,608 "," 30,379 "," 33,942 "," 31,902 "," 34,321 "," 34,840 "," 32,982 "," 36,212 "," 37,020 "," 34,093 "," 29,066 "," 17,963 "," 15,338 "," 14,412 "," 9,710 "," 5,479 "," 1,825 ", 394 , 57 
 宜 蘭 縣 , 男 ," 232,217 "," 1,673 "," 7,502 "," 1,800 "," 1,803 "," 2,074 "," 1,825 "," 9,311 "," 11,740 "," 15,963 "," 17,533 "," 16,811 "," 17,580 "," 17,703 "," 16,549 "," 18,742 "," 19,003 "," 17,233 "," 14,437 "," 8,867 "," 7,250 "," 6,613 "," 4,305 "," 2,502 ", 723 , 147 , 30 
, 女 ," 225,900 "," 1,589 "," 6,793 "," 1,661 "," 1,618 "," 1,856 "," 1,658 "," 8,706 "," 10,868 "," 14,416 "," 16,409 "," 15,091 "," 16,741 "," 17,137 "," 16,433 "," 17,470 "," 18,017 "," 16,860 "," 14,629 "," 9,096 "," 8,088 "," 7,799 "," 5,405 "," 2,977 "," 1,102 ", 247 , 27 
, 計 ," 542,042 "," 5,301 "," 24,971 "," 5,963 "," 5,712 "," 7,144 "," 6,152 "," 30,006 "," 31,559 "," 36,973 "," 37,706 "," 34,206 "," 42,486 "," 50,201 "," 44,675 "," 42,032 "," 39,461 "," 33,277 "," 27,228 "," 17,418 "," 14,424 "," 13,313 "," 9,006 "," 5,460 "," 1,872 ", 407 , 60 
 新 竹 縣 , 男 ," 277,417 "," 2,758 "," 12,834 "," 3,090 "," 2,912 "," 3,646 "," 3,186 "," 15,741 "," 16,608 "," 19,424 "," 19,612 "," 17,860 "," 21,150 "," 24,677 "," 22,840 "," 21,930 "," 20,766 "," 17,526 "," 13,802 "," 8,682 "," 7,008 "," 6,359 "," 4,232 "," 2,621 ", 802 , 161 , 24 
, 女 ," 264,625 "," 2,543 "," 12,137 "," 2,873 "," 2,800 "," 3,498 "," 2,966 "," 14,265 "," 14,951 "," 17,549 "," 18,094 "," 16,346 "," 21,336 "," 25,524 "," 21,835 "," 20,102 "," 18,695 "," 15,751 "," 13,426 "," 8,736 "," 7,416 "," 6,954 "," 4,774 "," 2,839 "," 1,070 ", 246 , 36 
, 計 ," 563,912 "," 5,375 "," 21,838 "," 5,940 "," 5,292 "," 5,882 "," 4,724 "," 23,525 "," 28,600 "," 35,728 "," 39,989 "," 39,774 "," 45,818 "," 45,080 "," 39,250 "," 40,945 "," 43,144 "," 40,161 "," 34,141 "," 22,319 "," 18,186 "," 17,107 "," 12,533 "," 7,313 "," 2,493 ", 514 , 79 
 苗 栗 縣 , 男 ," 290,726 "," 2,805 "," 11,262 "," 3,036 "," 2,739 "," 3,055 "," 2,432 "," 12,331 "," 15,277 "," 18,626 "," 20,879 "," 20,525 "," 23,370 "," 23,112 "," 20,705 "," 21,810 "," 22,819 "," 21,255 "," 17,591 "," 11,139 "," 8,966 "," 8,238 "," 5,658 "," 3,214 ", 941 , 174 , 29 
, 女 ," 273,186 "," 2,570 "," 10,576 "," 2,904 "," 2,553 "," 2,827 "," 2,292 "," 11,194 "," 13,323 "," 17,102 "," 19,110 "," 19,249 "," 22,448 "," 21,968 "," 18,545 "," 19,135 "," 20,325 "," 18,906 "," 16,550 "," 11,180 "," 9,220 "," 8,869 "," 6,875 "," 4,099 "," 1,552 ", 340 , 50 
, 計 ," 1,289,072 "," 12,529 "," 44,857 "," 11,594 "," 10,286 "," 12,497 "," 10,480 "," 53,485 "," 67,986 "," 86,485 "," 91,723 "," 93,797 "," 108,084 "," 107,324 "," 89,656 "," 91,474 "," 97,204 "," 90,456 "," 78,227 "," 51,817 "," 39,455 "," 37,374 "," 26,962 "," 14,253 "," 4,890 ", 925 , 109 
 彰 化 縣 , 男 ," 658,561 "," 6,521 "," 23,254 "," 6,020 "," 5,389 "," 6,499 "," 5,346 "," 28,132 "," 35,711 "," 45,358 "," 47,833 "," 49,170 "," 55,499 "," 55,141 "," 46,436 "," 47,810 "," 50,600 "," 46,689 "," 39,666 "," 25,745 "," 19,013 "," 17,084 "," 11,368 "," 5,618 "," 1,640 ", 244 , 29 
, 女 ," 630,511 "," 6,008 "," 21,603 "," 5,574 "," 4,897 "," 5,998 "," 5,134 "," 25,353 "," 32,275 "," 41,127 "," 43,890 "," 44,627 "," 52,585 "," 52,183 "," 43,220 "," 43,664 "," 46,604 "," 43,767 "," 38,561 "," 26,072 "," 20,442 "," 20,290 "," 15,594 "," 8,635 "," 3,250 ", 681 , 80 
, 計 ," 509,490 "," 3,333 "," 14,067 "," 3,534 "," 3,216 "," 3,908 "," 3,409 "," 18,553 "," 25,012 "," 33,156 "," 37,043 "," 35,142 "," 38,110 "," 38,005 "," 34,133 "," 39,171 "," 42,228 "," 39,682 "," 34,346 "," 22,580 "," 17,543 "," 16,460 "," 11,678 "," 6,635 "," 2,142 ", 419 , 52 
