 表一  各縣市人口數按性別及五歲年齡組分 ,,,,,,,,,,,,,,, 表一  各縣市人口數按性別及五歲年齡組分 ,,,,,,,,,,,,,
,,,,,, 中華民國108年底 ,,,,,,,,,,,,,, 中華民國108年底 ,,,,,,,,   單位：人 
 區 域 別 , 性別 , 總     計 , 0 ,,, 1～4 ,,, 5～9 , 10～14 , 15～19 , 20～24 , 25～29 , 30～34 , 35～39 , 40～44 , 45～49 , 50～54 , 55～59 , 60～64 , 65～69 , 70～74 , 75～79 , 80～84 , 85～89 , 90～94 , 95～99 , 100+ 
,,,, 小  計 , 1 , 2 , 3 , 4 ,,,,,,,,,,,,,,,,,,,,
, 計 ," 454,178 "," 2,919 "," 13,661 "," 3,075 "," 3,341 "," 3,674 "," 3,571 "," 18,074 "," 18,973 "," 24,489 "," 31,271 "," 33,101 "," 29,556 "," 33,917 "," 34,259 "," 33,649 "," 35,959 "," 36,721 "," 32,458 "," 25,721 "," 14,842 "," 14,395 "," 10,936 "," 6,230 "," 2,452 ", 523 , 72 
 宜 蘭 縣 , 男 ," 229,222 "," 1,504 "," 7,055 "," 1,575 "," 1,719 "," 1,901 "," 1,860 "," 9,415 "," 9,842 "," 12,762 "," 16,374 "," 17,372 "," 15,586 "," 17,192 "," 17,173 "," 16,923 "," 18,475 "," 18,604 "," 16,220 "," 12,579 "," 7,077 "," 6,545 "," 4,722 "," 2,587 "," 1,010 ", 178 , 27 
, 女 ," 224,956 "," 1,415 "," 6,606 "," 1,500 "," 1,622 "," 1,773 "," 1,711 "," 8,659 "," 9,131 "," 11,727 "," 14,897 "," 15,729 "," 13,970 "," 16,725 "," 17,086 "," 16,726 "," 17,484 "," 18,117 "," 16,238 "," 13,142 "," 7,765 "," 7,850 "," 6,214 "," 3,643 "," 1,442 ", 345 , 45 
, 計 ," 563,933 "," 4,507 "," 23,785 "," 5,079 "," 5,725 "," 6,386 "," 6,595 "," 32,527 "," 30,637 "," 33,666 "," 37,111 "," 37,623 "," 36,730 "," 49,276 "," 51,265 "," 45,009 "," 41,174 "," 38,334 "," 31,238 "," 24,058 "," 14,446 "," 13,354 "," 10,169 "," 5,860 "," 2,525 ", 559 , 80 
 新 竹 縣 , 男 ," 287,837 "," 2,360 "," 12,462 "," 2,691 "," 2,961 "," 3,346 "," 3,464 "," 16,702 "," 16,076 "," 17,697 "," 19,424 "," 19,908 "," 19,116 "," 24,455 "," 25,238 "," 22,965 "," 21,351 "," 20,009 "," 16,197 "," 11,955 "," 7,021 "," 6,319 "," 4,580 "," 2,636 "," 1,122 ", 219 , 25 
, 女 ," 276,096 "," 2,147 "," 11,323 "," 2,388 "," 2,764 "," 3,040 "," 3,131 "," 15,825 "," 14,561 "," 15,969 "," 17,687 "," 17,715 "," 17,614 "," 24,821 "," 26,027 "," 22,044 "," 19,823 "," 18,325 "," 15,041 "," 12,103 "," 7,425 "," 7,035 "," 5,589 "," 3,224 "," 1,403 ", 340 , 55 
, 計 ," 545,459 "," 2,957 "," 16,309 "," 3,421 "," 3,878 "," 4,273 "," 4,737 "," 23,550 "," 24,110 "," 30,647 "," 36,088 "," 38,398 "," 36,427 "," 44,313 "," 42,545 "," 39,001 "," 40,439 "," 42,573 "," 37,724 "," 30,079 "," 18,436 "," 16,627 "," 13,052 "," 8,015 "," 3,368 ", 704 , 97 
 苗 栗 縣 , 男 ," 281,290 "," 1,574 "," 8,334 "," 1,727 "," 1,999 "," 2,181 "," 2,427 "," 12,159 "," 12,638 "," 16,283 "," 18,898 "," 20,558 "," 19,467 "," 22,925 "," 21,783 "," 20,426 "," 21,428 "," 22,316 "," 19,709 "," 15,026 "," 8,933 "," 7,846 "," 5,972 "," 3,398 "," 1,336 ", 247 , 34 
, 女 ," 264,169 "," 1,383 "," 7,975 "," 1,694 "," 1,879 "," 2,092 "," 2,310 "," 11,391 "," 11,472 "," 14,364 "," 17,190 "," 17,840 "," 16,960 "," 21,388 "," 20,762 "," 18,575 "," 19,011 "," 20,257 "," 18,015 "," 15,053 "," 9,503 "," 8,781 "," 7,080 "," 4,617 "," 2,032 ", 457 , 63 
, 計 ," 1,272,802 "," 11,108 "," 43,633 "," 10,889 "," 10,884 "," 11,037 "," 10,823 "," 52,289 "," 55,991 "," 73,349 "," 86,654 "," 91,233 "," 90,555 "," 105,084 "," 101,199 "," 87,273 "," 90,696 "," 94,999 "," 85,523 "," 70,188 "," 42,663 "," 36,375 "," 28,861 "," 17,133 "," 6,470 "," 1,389 ", 137 
